Use,old_calval,SourceEntity,lab,UniqueID_v2,lat,long,siteid,waterbody_name,Year,Month,CollDate,daynum,CollMeth,Freq,SameYr_SameDay2,SameYr_DiftDay2,MultipleYrs,Unit_OBSPRED_final,MWMT_TolAnal,MWMT_source,MWMT_93_11,MWMT_Annual,Aug_93_11,NORWEST_Unit,Ecoregion_name,eco3,L4_eco_code,L4_eco_name,slope_nhd,wsarea_km2,elev_m,ElevWs,ICI,IWI,PctUrbCat,PctUrbWs,PctAgCat,PctAgWs,PctForCat,PctForWs,RdDensCat,RdDensWs,Tmean8110Cat,Tmean8110Ws,Precip8110Cat,Precip8110Ws
Y,CAL,USGS,USGS,BDB-000026311_1,47.46565533,-122.2326218,USGS_126,"SPRINGBROOK CREEK AT TUKWILA, WA",1996,8,8/12/1996 0:00,225,targeted riffle,single,,,,WACoast_113705,21.79,annual,21.45,21.79,16.77,WACoast,Puget Lowland,PL,2b,Eastern Puget Riverine Lowlands,0.090623,18.2124,20.09103251,61.03048774,0.436848374,0.46911271,82.89655172,77.61415299,0,0.098833762,3.113300493,4.719312117,11.24120522,11.52495645,11.65368171,11.38189944,938.3026459,977.1026488
Y,NOT_CALVAL,USGS,USGS,BDB-000026313_1,47.69565378,-122.2762368,USGS_119,"THORNTON CREEK NEAR SEATTLE, WA",1996,8,8/19/1996 0:00,232,targeted riffle,multi,,,USGS_119,WACoast_118080,19.18,annual,18.84,19.18,15.3,WACoast,Puget Lowland,PL,2f,Central Puget Lowland,0.591904,31.0167,59.5226749,97.43784232,0.45346892,0.449489527,85.43209877,88.77056553,0,0,5.569272977,3.302092099,13.62598647,13.17433576,11.25223779,11.01314179,885.6112661,916.4466922
Y,NOT_CALVAL,USGS,USGS,BDB-000026315_1,47.51425666,-123.3298868,USGS_077,"NF SKOKOMISH R BL STAIRCASE RPDS NR HOODSPORT, WA",1996,9,9/24/1996 0:00,268,targeted riffle,multi,,USGS_077__1996,USGS_077,WACoast_115932,12.55,annual,12.22,12.55,11.34,WACoast,Coast Range,CR,1d,Volcanics,0.564903,147.429,434.8711087,988.3068988,0.894492169,0.875599809,0,0.073255601,0,0.01098834,86.95652174,81.62322203,1.772557044,0.141584547,9.560851338,6.761849679,3432.89851,3786.136963
Y,NOT_CALVAL,USGS,USGS,BDB-000026317_1,47.51425666,-123.3298868,USGS_077,"NF SKOKOMISH R BL STAIRCASE RPDS NR HOODSPORT, WA",1996,9,9/25/1996 0:00,269,targeted riffle,multi,USGS_077__1996-09-25,USGS_077__1996,USGS_077,WACoast_115932,12.55,annual,12.22,12.55,11.34,WACoast,Coast Range,CR,1d,Volcanics,0.564903,147.429,434.8711087,988.3068988,0.894492169,0.875599809,0,0.073255601,0,0.01098834,86.95652174,81.62322203,1.772557044,0.141584547,9.560851338,6.761849679,3432.89851,3786.136963
Y,NOT_CALVAL,USGS,USGS,BDB-000026319_1,47.51425666,-123.3298868,USGS_077,"NF SKOKOMISH R BL STAIRCASE RPDS NR HOODSPORT, WA",1996,9,9/25/1996 0:00,269,targeted riffle,multi,USGS_077__1996-09-25,USGS_077__1996,USGS_077,WACoast_115932,12.55,annual,12.22,12.55,11.34,WACoast,Coast Range,CR,1d,Volcanics,0.564903,147.429,434.8711087,988.3068988,0.894492169,0.875599809,0,0.073255601,0,0.01098834,86.95652174,81.62322203,1.772557044,0.141584547,9.560851338,6.761849679,3432.89851,3786.136963
Y,CAL,USGS,USGS,BDB-000026321_1,47.30981514,-123.1770995,USGS_079,"SKOKOMISH RIVER NEAR POTLATCH, WA",1996,9,9/12/1996 0:00,256,targeted riffle,single,,,,WACoast_112665,16.12,annual,15.79,16.12,11.76,WACoast,Puget Lowland,PL,2f,Central Puget Lowland,0.132502,591.7482,76.35738616,608.7708844,0.622687892,0.798855408,1.093162512,0.579773627,10.27015736,0.587226121,33.79055842,71.73664407,1.50762082,1.235530799,10.47152446,8.632647432,2027.805352,3316.205604
Y,NOT_CALVAL,USGS,USGS,BDB-000026325_1,48.92650272,-122.4962765,USGS_104,"FISHTRAP CREEK AT FLYNN ROAD AT LYNDEN, WA",1996,9,9/3/1996 0:00,247,targeted riffle,multi,USGS_104__1996-09-03,USGS_104__1996,USGS_104,WACoast_135754,20.93,annual,20.6,20.93,16.09,WACoast,Puget Lowland,PL,2a,Fraser Lowland,0.175047,110.8134,21.65914701,57.90531927,0.172134665,0.143048291,24.1946461,18.55149357,69.06193285,73.2756741,1.378176044,1.92237808,3.016001179,2.964222946,10.32847399,10.32684922,1236.410632,1423.661805
Y,CAL,USGS,USGS,BDB-000026327_1,48.92650272,-122.4962765,USGS_104,"FISHTRAP CREEK AT FLYNN ROAD AT LYNDEN, WA",1996,9,9/3/1996 0:00,247,targeted riffle,multi,USGS_104__1996-09-03,USGS_104__1996,USGS_104,WACoast_135754,20.93,annual,20.6,20.93,16.09,WACoast,Puget Lowland,PL,2a,Fraser Lowland,0.175047,110.8134,21.65914701,57.90531927,0.172134665,0.143048291,24.1946461,18.55149357,69.06193285,73.2756741,1.378176044,1.92237808,3.016001179,2.964222946,10.32847399,10.32684922,1236.410632,1423.661805
Y,NOT_CALVAL,USGS,USGS,BDB-000026329_1,48.92650272,-122.4962765,USGS_104,"FISHTRAP CREEK AT FLYNN ROAD AT LYNDEN, WA",1996,9,9/5/1996 0:00,249,targeted riffle,multi,,USGS_104__1996,USGS_104,WACoast_135754,20.93,annual,20.6,20.93,16.09,WACoast,Puget Lowland,PL,2a,Fraser Lowland,0.175047,110.8134,21.65914701,57.90531927,0.172134665,0.143048291,24.1946461,18.55149357,69.06193285,73.2756741,1.378176044,1.92237808,3.016001179,2.964222946,10.32847399,10.32684922,1236.410632,1423.661805
Y,NOT_CALVAL,USGS,USGS,BDB-000026335_1,47.51425666,-123.3298868,USGS_077,"NF SKOKOMISH R BL STAIRCASE RPDS NR HOODSPORT, WA",1997,8,8/29/1997 0:00,241,targeted riffle,multi,,,USGS_077,WACoast_115932,12.01,annual,12.22,12.01,11.34,WACoast,Coast Range,CR,1d,Volcanics,0.564903,147.429,434.8711087,988.3068988,0.894492169,0.875599809,0,0.073255601,0,0.01098834,86.95652174,81.62322203,1.772557044,0.141584547,9.560851338,6.761849679,3432.89851,3786.136963
Y,CAL,USGS,USGS,BDB-000026337_1,47.33009155,-123.317104,USGS_078,"VANCE CREEK NEAR CAMP GOVEY NEAR POTLATCH, WA",1997,8,8/25/1997 0:00,237,targeted riffle,single,,,,WACoast_113086,14.92,annual,15.12,14.92,12.35,WACoast,Coast Range,CR,1d,Volcanics,2.058378,40.2282,280.7404898,484.1087966,0.867720562,0.867721576,0.246652572,0.375855743,0.880902044,0.055930914,60.21846371,75.56937671,2.408634837,2.469374775,10.0835407,9.39058811,2804.953531,3522.737701
Y,CAL,USGS,USGS,BDB-000026797_1,46.25466401,-119.6747111,USGS_197,"SNIPES CREEK AT MCCREADIE ROAD NR WHITSRAN, WA",2003,8,8/21/2003 0:00,233,targeted riffle,multi,,,USGS_197,UpColYak_101588,26.89,annual,25.91,26.89,20.46,UpColYak,Columbia Plateau,CP,10e,Pleistocene Lake Basins,1.910228,89.1612,226.9656094,573.8461006,0.240495318,0.265269765,4.313205043,0.425970041,42.66755143,53.66213106,0,0,2.744352391,1.400401696,11.49656326,9.879095615,217.7053018,251.8753412
Y,CAL,USGS,USGS,BDB-000026803_1,47.19815382,-122.5226251,USGS_099,"LEACH CREEK NEAR STEILACOOM, WA",1997,8,8/18/1997 0:00,230,targeted riffle,single,,,,WACoast_110759,18.53,annual,18.74,18.53,14.28,WACoast,Puget Lowland,PL,2g,Southern Puget Prairies,0.824611,20.6208,97.52181259,97.52181259,0.52948905,0.52948905,78.71857542,78.71857542,0,0,5.31599162,5.31599162,10.03302133,10.03302133,10.6412272,10.6412272,1044.411948,1044.411948
Y,NOT_CALVAL,USGS,USGS,BDB-000026804_1,47.18177905,-121.3887037,USGS_157,"GREEN RIVER ABOVE TWIN CAMP CREEK NEAR LESTER, WA",1997,8,8/20/1997 0:00,232,targeted riffle,multi,,,USGS_157,WACoast_108976,14.95,annual,15.15,14.95,11.2,WACoast,Cascades,CA,4a,Western Cascades Lowlands and Valleys,2.514919,42.8517,786.680797,1157.748586,0.85656204,0.868410556,0,0.621678953,0,0,82.94717331,73.70045996,2.909270533,2.454848216,6.52591464,5.307700511,1581.058781,1924.742257
Y,VAL,USGS,USGS,BDB-000026806_1,47.2056677,-121.4059265,USGS_156,"INTAKE CREEK NEAR LESTER, WA",1997,8,8/21/1997 0:00,233,targeted riffle,single,,,,WACoast_109385,14.69,annual,14.89,14.69,11.41,WACoast,Cascades,CA,4a,Western Cascades Lowlands and Valleys,11.18539,9.1926,871.629625,1058.124687,0.874440343,0.856398631,0.711283543,0.793029176,0,0,75.20206919,74.62306638,3.545653051,3.443773582,6.456156791,5.731679035,1772.479976,1937.470331
Y,NOT_CALVAL,USGS,USGS,BDB-000026807_1,47.27565642,-122.059559,USGS_140,"NEWAUKUM CREEK NEAR BLACK DIAMOND, WA",1997,8,8/16/1997 0:00,228,targeted riffle,multi,,,USGS_140,WACoast_110748,17.59,annual,17.8,17.59,14.08,WACoast,Puget Lowland,PL,2b,Eastern Puget Riverine Lowlands,1.87E+00,78.7239,163.9236485,258.0762225,0.421780516,0.305236978,11.35151156,15.19017732,23.45880261,33.63171794,46.23592175,27.22845286,3.220718442,3.843561904,10.59435786,10.01041708,1166.462515,1337.645618
Y,NOT_CALVAL,USGS,USGS,BDB-000026809_1,47.31232289,-122.165396,USGS_134,"BIG SOOS CREEK ABOVE HATCHERY NEAR AUBURN, WA",1997,8,8/12/1997 0:00,224,targeted riffle,multi,,,USGS_134,WACoast_111631,18.7,annual,18.91,18.7,14.45,WACoast,Puget Lowland,PL,2e,Eastern Puget Uplands,0.405693,211.0851,98.27139005,166.3079809,0.680115869,0.564141703,33.26024995,29.16785694,0.526200395,2.419213862,30.38807279,33.24990726,5.349597717,5.810727014,10.97646086,10.51024862,1085.098177,1275.307763
Y,VAL,USGS,USGS,BDB-000026811_1,47.38649132,-121.8462217,USGS_154,"TAYLOR CREEK NEAR SELLECK, WA",1997,8,8/22/1997 0:00,234,targeted riffle,single,,,,WACoast_112129,15.09,annual,15.3,15.09,12.43,WACoast,Cascades,CA,4a,Western Cascades Lowlands and Valleys,4.018288,44.8272,331.10125,694.051974,0.828156144,0.888101977,0,0.887407645,0,0,89.12601626,89.5900257,3.188624405,2.734386393,9.357704074,7.672000944,1763.240076,2506.212775
Y,VAL,USGS,USGS,BDB-000026812_1,47.71093184,-122.210958,USGS_130,"JUANITA CREEK AT JUANITA, WA",1997,8,8/14/1997 0:00,226,targeted riffle,single,,,,WACoast_118054,18.88,annual,19.09,18.88,15.64,WACoast,Puget Lowland,PL,2f,Central Puget Lowland,1.108576,17.6814,43.9793545,73.38159727,0.400080544,0.419021678,77.72486772,79.50727884,0,0,13.43915344,10.31253181,13.45850029,13.60937868,11.39524551,11.15708281,969.06804,994.0074202
Y,VAL,USGS,USGS,BDB-000026813_1,47.76648679,-122.2415151,USGS_124,"SWAMP CREEK NEAR BOTHELL, WA",1997,8,8/19/1997 0:00,231,targeted riffle,single,,,,WACoast_119719,20.59,annual,20.8,20.59,16.11,WACoast,Puget Lowland,PL,2f,Central Puget Lowland,0.975734,59.5755,70.67660431,129.8021092,0.588499251,0.520824229,57.81018812,72.21693481,0,0,19.19255971,8.3661908,7.551224033,9.449052823,11.07600543,10.65724985,999.7651193,947.7441722
Y,CAL,USGS,USGS,BDB-000026816_1,48.2842759,-121.6395724,USGS_155,"NF STILLAGUAMISH R AB SQUIRRE CR NR DARRINGTON, WA",1997,8,8/26/1997 0:00,238,targeted riffle,single,,,,WACoast_127425,18.63,annual,18.84,18.63,14.87,WACoast,North Cascades,NC,77a,North Cascades Lowland Forests,0.411991,140.499,255.5232373,739.126456,0.7789153,0.849206197,1.86801676,1.085772852,4.574022346,0.503491128,67.93528864,83.02286849,2.579888387,0.8362922,9.539441997,7.850647408,2276.405988,3068.891685
Y,CAL,USGS,USGS,BDB-000026817_1,48.73235031,-121.1665121,USGS_159,"STETATTLE CREEK BL CAMP DAYO CREEK NR NEWHALEM, WA",1997,8,8/8/1997 0:00,220,targeted riffle,single,,,,WACoast_132642,13.35,annual,13.55,13.35,10.6,WACoast,North Cascades,NC,77a,North Cascades Lowland Forests,4.056277,52.6347,1104.123905,1275.78713,0.867831757,0.85548947,0,0,0,0,87.04135119,52.5075663,0,0,5.865729703,5.056553899,2519.166008,2608.195077
Y,VAL,USGS,USGS,BDB-000026818_1,48.68123654,-121.2726251,USGS_158,"GOODELL CR NR N CASCADES NP BNDRY NR NEWHALEM, WA",1997,8,8/28/1997 0:00,240,targeted riffle,single,,,,WACoast_132298,13.69,annual,13.9,13.69,10.56,WACoast,North Cascades,NC,77a,North Cascades Lowland Forests,2.945481,100.6497,599.1337926,1252.899432,0.748184288,0.837862116,0.406903325,0.025931523,0,0,81.18422899,41.48328311,0.346908838,0.022108137,7.917057542,5.147287918,2205.298115,2757.426968
Y,CAL,USGS,USGS,BDB-000026820_1,48.94567132,-122.439329,USGS_107,"KAMM CREEK AT LYNDEN, WA",1997,8,8/27/1997 0:00,239,targeted riffle,single,,,,WACoast_135774,20.88,annual,21.09,20.88,16.21,WACoast,Puget Lowland,PL,2a,Fraser Lowland,0.001,21.8448,23.25326775,26.07483067,0.20685607,0.192791128,35.95679012,11.62656559,52.12191358,67.80652604,0,8.886783125,7.124726884,2.941054567,10.41032141,10.43467796,1285.502067,1268.212124
Y,NOT_CALVAL,USGS,USGS,BDB-000026821_1,48.92650272,-122.4962765,USGS_104,"FISHTRAP CREEK AT FLYNN ROAD AT LYNDEN, WA",1997,8,8/4/1997 0:00,216,targeted riffle,multi,,,USGS_104,WACoast_135754,20.39,annual,20.6,20.39,16.09,WACoast,Puget Lowland,PL,2a,Fraser Lowland,0.175047,110.8134,21.65914701,57.90531927,0.172134665,0.143048291,24.1946461,18.55149357,69.06193285,73.2756741,1.378176044,1.92237808,3.016001179,2.964222946,10.32847399,10.32684922,1236.410632,1423.661805
Y,CAL,USGS,USGS,BDB-000026823_1,48.92400218,-122.5287781,USGS_098,"BERTRAND CREEK NEAR LYNDEN, WA",1997,8,8/5/1997 0:00,217,targeted riffle,single,,,,WACoast_135698,18.33,annual,18.53,18.33,15.09,WACoast,Puget Lowland,PL,2a,Fraser Lowland,0.178436,92.9997,16.07268919,68.96389285,0.218351931,0.203738647,5,5.879375791,77.09459459,77.0455504,6.824324324,9.405314213,1.378566831,1.800963809,10.21146397,10.2416036,1171.639516,1476.450632
Y,NOT_CALVAL,USGS,USGS,BDB-000026825_1,47.18177905,-121.3887037,USGS_157,"GREEN RIVER ABOVE TWIN CAMP CREEK NEAR LESTER, WA",1998,8,8/31/1998 0:00,243,targeted riffle,multi,,,USGS_157,WACoast_108976,16.02,annual,15.15,16.02,11.2,WACoast,Cascades,CA,4a,Western Cascades Lowlands and Valleys,2.514919,42.8517,786.680797,1157.748586,0.85656204,0.868410556,0,0.621678953,0,0,82.94717331,73.70045996,2.909270533,2.454848216,6.52591464,5.307700511,1581.058781,1924.742257
Y,NOT_CALVAL,USGS,USGS,BDB-000026827_1,47.27565642,-122.059559,USGS_140,"NEWAUKUM CREEK NEAR BLACK DIAMOND, WA",1998,8,8/26/1998 0:00,238,targeted riffle,multi,,,USGS_140,WACoast_110748,18.67,annual,17.8,18.67,14.08,WACoast,Puget Lowland,PL,2b,Eastern Puget Riverine Lowlands,1.86768,78.7239,163.9236485,258.0762225,0.421780516,0.305236978,11.35151156,15.19017732,23.45880261,33.63171794,46.23592175,27.22845286,3.220718442,3.843561904,10.59435786,10.01041708,1166.462515,1337.645618
Y,NOT_CALVAL,USGS,USGS,BDB-000026829_1,47.31232289,-122.165396,USGS_134,"BIG SOOS CREEK ABOVE HATCHERY NEAR AUBURN, WA",1998,8,8/24/1998 0:00,236,targeted riffle,multi,,,USGS_134,WACoast_111631,19.78,annual,18.91,19.78,14.45,WACoast,Puget Lowland,PL,2e,Eastern Puget Uplands,0.405693,211.0851,98.27139005,166.3079809,0.680115869,0.564141703,33.26024995,29.16785694,0.526200395,2.419213862,30.38807279,33.24990726,5.349597717,5.810727014,10.97646086,10.51024862,1085.098177,1275.307763
Y,NOT_CALVAL,USGS,USGS,BDB-000026831_1,47.51425666,-123.3298868,USGS_077,"NF SKOKOMISH R BL STAIRCASE RPDS NR HOODSPORT, WA",1998,9,9/3/1998 0:00,246,targeted riffle,multi,,,USGS_077,WACoast_115932,13.09,annual,12.22,13.09,11.34,WACoast,Coast Range,CR,1d,Volcanics,0.564903,147.429,434.8711087,988.3068988,0.894492169,0.875599809,0,0.073255601,0,0.01098834,86.95652174,81.62322203,1.772557044,0.141584547,9.560851338,6.761849679,3432.89851,3786.136963
Y,NOT_CALVAL,USGS,USGS,BDB-000026833_1,47.69565378,-122.2762368,USGS_119,"THORNTON CREEK NEAR SEATTLE, WA",1998,9,9/10/1998 0:00,253,targeted riffle,multi,,,USGS_119,WACoast_118080,19.71,annual,18.84,19.71,15.3,WACoast,Puget Lowland,PL,2f,Central Puget Lowland,0.591904,31.0167,59.5226749,97.43784232,0.45346892,0.449489527,85.43209877,88.77056553,0,0,5.569272977,3.302092099,13.62598647,13.17433576,11.25223779,11.01314179,885.6112661,916.4466922
Y,NOT_CALVAL,USGS,USGS,BDB-000026835_1,48.92650272,-122.4962765,USGS_104,"FISHTRAP CREEK AT FLYNN ROAD AT LYNDEN, WA",1998,9,9/1/1998 0:00,244,targeted riffle,multi,,,USGS_104,WACoast_135754,21.47,annual,20.6,21.47,16.09,WACoast,Puget Lowland,PL,2a,Fraser Lowland,0.175047,110.8134,21.65914701,57.90531927,0.172134665,0.143048291,24.1946461,18.55149357,69.06193285,73.2756741,1.378176044,1.92237808,3.016001179,2.964222946,10.32847399,10.32684922,1236.410632,1423.661805
Y,CAL,USGS,USGS,BDB-000027010_1,46.94429588,-120.4502972,USGS_171,JOHNSON DRAIN AT SOUTH FERGUSON ROAD,2000,9,9/19/2000 0:00,263,targeted riffle,single,,,,UpColYak_112671,21.2,annual,21.2,21.2,16.44,UpColYak,Columbia Plateau,CP,10e,Pleistocene Lake Basins,0.566815,40.8654,479.593974,595.9855631,0.166373122,0.271050242,1.228526809,0.330352817,93.07652264,59.38202,0,0.033035282,1.434918615,1.441138066,9.374430646,8.914879052,218.3545872,236.7439234
Y,NOT_CALVAL,USGS,USGS,BDB-000027878_1,44.95567759,-122.6284199,USGS_059,"LITTLE ABIQUA CREEK NEAR SCOTTS MILLS, OR",1997,8,8/14/1997 0:00,226,targeted riffle,multi,,,USGS_059,ORCoast_211234,18.38,annual,18.97,18.38,14.09,ORCoast,Cascades,CA,4a,Western Cascades Lowlands and Valleys,3.246323,25.3368,332.1238921,560.9023064,0.629072523,0.8250277,0,0.021312873,3.516998828,0.106564365,39.97655334,62.9759875,0.176000896,1.149946348,10.38373944,9.39342816,1603.034691,1958.586497
Y,NOT_CALVAL,USGS,USGS,BDB-000027880_1,45.10039816,-122.8217596,USGS_045,"ZOLLNER CREEK NEAR MT ANGEL, OR",1997,8,8/11/1997 0:00,223,targeted riffle,multi,,,USGS_045,ORCoast_213002,21.43,annual,22.03,21.43,18.03,ORCoast,Willamette Valley,WV,3c,Prairie Terraces,0.23589,40.6125,50.99809662,72.22409884,0.185364113,0.157469729,6.473429952,5.017174515,82.36714976,87.83379501,2.608695652,1.737396122,2.675341792,1.912082996,11.83824453,11.75655077,1070.812228,1114.258815
Y,NOT_CALVAL,USGS,USGS,BDB-000027883_1,44.95567759,-122.6284199,USGS_059,"LITTLE ABIQUA CREEK NEAR SCOTTS MILLS, OR",1998,8,8/4/1998 0:00,216,targeted riffle,multi,,,USGS_059,ORCoast_211234,19.48,annual,18.97,19.48,14.09,ORCoast,Cascades,CA,4a,Western Cascades Lowlands and Valleys,3.246323,25.3368,332.1238921,560.9023064,0.629072523,0.8250277,0,0.021312873,3.516998828,0.106564365,39.97655334,62.9759875,0.176000896,1.149946348,10.38373944,9.39342816,1603.034691,1958.586497
Y,NOT_CALVAL,USGS,USGS,BDB-000027885_1,45.10039816,-122.8217596,USGS_045,"ZOLLNER CREEK NEAR MT ANGEL, OR",1998,8,8/7/1998 0:00,219,targeted riffle,multi,,,USGS_045,ORCoast_213002,22.53,annual,22.03,22.53,18.03,ORCoast,Willamette Valley,WV,3c,Prairie Terraces,0.23589,40.6125,50.99809662,72.22409884,0.185364113,0.157469729,6.473429952,5.017174515,82.36714976,87.83379501,2.608695652,1.737396122,2.675341792,1.912082996,11.83824453,11.75655077,1070.812228,1114.258815
Y,NOT_CALVAL,USGS,USGS,BDB-000028463_1,46.87655424,-117.3635161,USGS_221,"SOUTH FORK PALOUSE RIVER AT COLFAX, WA",1995,8,8/8/1995 0:00,220,targeted riffle,multi,,,USGS_221,MidCol_114872,26.31,annual,26.69,26.31,18.79,MidCol,Columbia Plateau,CP,10h,Palouse Hills,0.389171,711.6741,680.5562312,812.0246184,0.259785235,0.196168629,5.98755832,3.992543778,64.87817522,80.52390835,15.52617937,7.230107152,2.54463604,1.906274091,8.942270203,8.283990023,503.9101372,581.7481633
