site.id,cal.val,MWMT_final,eco3,lat,long,slope_nhd,ws.area_km2,elev_m,IWI,PctForCat,PctForWs
ORDEQ_0096,primary,19.06,Coast Range,42.7228506,-124.2026929,1.668508,23.0958,423.4769449,0.892361497,96.99499165,96.1070844
ORDEQ_0120,primary,21.81,Coast Range,42.81990556,-124.1949667,0.246289,70.5177,210.6091155,0.885285569,40.03395586,49.23487295
ORDEQ_0148,primary,18.91,Coast Range,42.93702867,-124.191807,5.768672,6.4782,287.5615032,0.887303603,58.6273965,58.6273965
ORDEQ_0125,primary,22.1,Coast Range,42.8381657,-124.1900107,0.246289,70.5177,210.6091155,0.885285569,40.03395586,49.23487295
WAECY_0357,primary,17.27,Coast Range,47.243673,-124.187764,0.257738,92.8998,35.67735853,0.869165782,55.47506562,60.98506132
ORDEQ_0158,primary,16.57,Coast Range,42.97491272,-124.1858384,4.287962,3.1491,173.3551215,0.896558254,29.57987997,29.57987997
USU_0064,primary,18.01,Coast Range,43.5811,-124.1855,0.363157,28.0827,37.34327591,0.870821547,39.76277888,35.3748037
ORDEQ_0318,primary,17.63,Coast Range,43.58914691,-124.1840807,0.363157,28.0827,37.34327591,0.870821547,39.76277888,35.3748037
ORRO-1049,primary,25.26,Coast Range,43.12125,-124.1794,0.021948,2349.0567,7.202800488,0.788760566,1.647345943,60.21774187
USU_0065,primary,19.54,Coast Range,42.9017,-124.1725,2.149425,24.6681,266.8710661,0.803512924,47.74344194,47.74344194
WWAP99-0716,primary,16.72,Coast Range,47.69004,-124.17229,0.707499,37.3338,274.2060523,0.879145432,81.73652695,81.44737476
ORDEQ_0194,primary,21.34,Coast Range,43.11555978,-124.1713433,1.166573,10.1052,84.74900275,0.562456991,34.72866749,35.3847524
PSSB_0038,primary,14.9,Coast Range,48.097749,-124.157816,1.00461,14.454,358.1323535,0.868591676,95.99609375,96.01494396
USU_0070,primary,19.77,Coast Range,42.9064,-124.1572,2.149425,24.6681,266.8710661,0.803512924,47.74344194,47.74344194
ORDEQ_0057,primary,14.15,Klamath Mountains/California High North Coast Range,42.43705182,-124.1568975,19.510034,3.5892,877.5722944,0.894025265,92.6780341,92.6780341
ORDEQ_0177,primary,22.17,Coast Range,43.04717021,-124.1541929,0.285561,81.3798,22.19265306,0.772310758,14.48979592,52.35230364
ORDEQ_0273,primary,19.75,Coast Range,43.4123492,-124.1537518,0.850877,11.1429,85.43242066,0.888061805,20.56580566,47.50827881
ORDEQ_0262,primary,19.84,Coast Range,43.36210396,-124.1438647,1.625421,2.1222,64.61746395,0.582562101,44.3596268,44.3596268
USU_0074,primary,19.06,Coast Range,42.8886,-124.1389,4.186501,15.1461,316.2314939,0.903548755,68.83356111,68.83356111
ORDEQ_0277,primary,17.82,Coast Range,43.41668135,-124.1273609,3.438492,5.2785,148.4177267,0.886197998,62.13235294,67.46803069
USU_0077,primary,16.08,Coast Range,44.11791862,-124.1196964,13.068865,1.872,263.9984567,0.842803939,86.53846154,86.53846154
USU_0078,primary,18.55,Coast Range,42.86,-124.1186,7.340503,6.327,443.2098364,0.895240897,89.28876245,89.28876245
ORDEQ_0102,primary,17.13,Coast Range,42.76306509,-124.1176269,5.991625,9.0909,702.8773805,0.902143757,85.86278586,85.86278586
ORDEQ_0486,primary,20.33,Coast Range,44.06740339,-124.1175894,0.184963,38.5803,23.51585613,0.868804874,29.90721774,62.90853104
USU_0080,primary,14.79,Coast Range,42.66949,-124.112,16.497404,5.5971,715.3297411,0.915375932,84.98150828,84.98150828
ORDEQ_0298,primary,17.91,Coast Range,43.49224876,-124.1101908,3.442664,10.2177,182.1148602,0.877602141,77.21766679,76.86074165
ORDEQ_0014,primary,19.25,Coast Range,42.03834166,-124.106777,0.541433,59.7114,228.2367295,0.897125848,98.11443433,96.12938233
ORDEQ_0548,primary,18.43,Coast Range,44.17035153,-124.105461,0.560139,38.9151,85.68656787,0.890220998,86.78126852,93.28384098
ORDEQ_0525,primary,18.12,Coast Range,44.13013073,-124.1034605,1.052429,32.0454,109.1872744,0.902996189,88.51735016,89.08610908
ORDEQ_0288,primary,18.92,Coast Range,43.44956734,-124.1028986,8.569932,4.6953,188.4369635,0.816086849,23.28190743,45.7350968
USU_0083,primary,24.66,Coast Range,42.9,-124.1,0.416845,465.1191,224.6625618,0.825052818,28.96197613,71.07153845
USU_0084,primary,21.9,Coast Range,43.1514,-124.1,0.001,337.3065,23.06991525,0.817388164,0,59.28385608
ORDEQ_0598,primary,17.75,Coast Range,44.26695349,-124.0980637,1.781391,21.4911,268.6938335,0.886380697,95.97972504,96.78378492
USU_0086,primary,16.68,Klamath Mountains/California High North Coast Range,42.66357,-124.097,16.497404,5.5971,715.3297411,0.915375932,84.98150828,84.98150828
FW08OR001,primary,18.39,Coast Range,43.64952824,-124.0956116,0.352661,9.2277,93.05733591,0.872503318,41.4018414,50.27796742
USU_0087,primary,17.16,Klamath Mountains/California High North Coast Range,42.61722,-124.095,14.912874,14.1183,538.5562292,0.889968156,93.48281016,91.26665392
WORP99-0748,primary,17.96,Coast Range,43.649923,-124.094376,1.849091,4.0185,124.8426697,0.873448708,66.8980963,66.8980963
ORDEQ_0208,primary,19.58,Coast Range,43.20759024,-124.0927902,0.967213,10.6776,59.58906954,0.858946047,18.0215475,71.45987862
ORDEQ_0552,primary,14.45,Coast Range,44.18771584,-124.0912292,5.47662,15.9435,326.0904905,0.896018517,97.55574372,97.55574372
ORDEQ_0018,primary,19.89,Klamath Mountains/California High North Coast Range,42.04829847,-124.0903067,0.948483,33.6357,285.757439,0.888716785,96.15023474,97.10218607
ORDEQ_0022,primary,20.1,Klamath Mountains/California High North Coast Range,42.05764467,-124.0865834,0.948483,33.6357,285.757439,0.888716785,96.15023474,97.10218607
ORDEQ_0230,primary,16.73,Coast Range,43.25887407,-124.0840055,16.899552,1.1304,296.1663057,0.881776309,48.32802548,48.32802548
ORDEQ_0546,primary,17.9,Coast Range,44.16868892,-124.0826131,1.115505,35.6211,230.3271327,0.887909822,97.01297395,93.23883878
ORDEQ_0331,primary,18.71,Coast Range,43.61888722,-124.0820682,2.924335,7.4988,128.9120883,0.796664209,69.75516083,69.75516083
ORDEQ_0522,primary,15.66,Coast Range,44.12733822,-124.0798997,7.824452,7.5438,289.1147578,0.918157956,88.9525173,88.9525173
WAECY_0504,primary,17.26,Coast Range,47.805593,-124.078701,0.133779,486.252,120.3878865,0.824063725,15.6555773,74.79677204
ORDEQ_0098,primary,19.28,Coast Range,42.755996,-124.078229,3.730553,42.3648,436.8325852,0.915806942,87.14703019,86.70334806
ORDEQ_0254,primary,17.42,Coast Range,43.32087131,-124.077324,7.559124,5.9625,197.6533857,0.866429288,70.70188679,70.70188679
ORDEQ_0602,primary,17.62,Coast Range,44.26946077,-124.0727007,1.781391,21.4911,268.6938335,0.886380697,95.97972504,96.78378492
ORDEQ_0234,primary,18.54,Coast Range,43.26254472,-124.0702796,2.257901,11.0655,204.8596438,0.796676343,63.14363144,40.34160228
USU_0094,primary,14.58,Coast Range,48.0222142,-124.0699137,6.989265,10.2492,713.7963181,0.853719897,91.42957499,91.42957499
ORDEQ_0134,primary,24.88,Coast Range,42.88923038,-124.0684157,0.305907,444.7863,150.7963826,0.828242472,30.61422675,72.93037128
ORDEQ_0093,primary,14.59,Coast Range,42.71088599,-124.0666004,18.626752,2.2401,636.0853315,0.889293927,89.79509843,89.79509843
USU_0097,primary,17.12,Klamath Mountains/California High North Coast Range,42.62143,-124.065,26.576208,1.5003,386.4573785,0.874188357,82.06358728,82.06358728
ORDEQ_0595,primary,17.62,Coast Range,44.2667599,-124.0634711,1.781391,21.4911,268.6938335,0.886380697,95.97972504,96.78378492
ORDEQ_0378,primary,19.01,Coast Range,43.7771588,-124.0634006,2.482825,3.6378,116.2343765,0.908422456,64.27511133,64.27511133
USU_0099,primary,17.66,Coast Range,42.70196,-124.06284,2.602704,24.8877,464.8762907,0.912072728,87.59398496,88.08809171
ORDEQ_0182,primary,18.97,Coast Range,43.07762104,-124.0604027,5.836559,7.2855,219.075703,0.835439761,59.07037739,62.52007412
USU_0104,primary,16.75,Coast Range,44.2404189,-124.0595395,4.568679,16.0803,330.3067655,0.89688349,97.5485532,97.5485532
WWAP99-0604,primary,17.48,Coast Range,47.533889,-124.059444,0.627573,82.4814,152.10636,0.896567195,71.40689459,80.02313249
ORDEQ_0343,primary,18.5,Coast Range,43.64411753,-124.0586399,5.120473,1.6029,152.7720494,0.902227811,86.24368332,86.24368332
USU_0105,primary,19.56,Coast Range,44.7294,-124.0582,0.585466,16.2756,51.23982185,0.902153293,28.97862233,28.17960628
USU_0107,primary,14.42,Coast Range,44.18804763,-124.0546844,5.47662,15.9435,326.0904905,0.896018517,97.55574372,97.55574372
USU_0108,primary,18.7,Coast Range,43.075,-124.0544,5.836559,7.2855,219.075703,0.835439761,59.07037739,62.52007412
ORDEQ_0193,primary,21.4,Coast Range,43.11088333,-124.0539106,0.582037,11.097,65.3441074,0.815433552,26.56023222,79.15652879
USU_0109,primary,15.69,Coast Range,47.5291944,-124.0534294,4.24908,11.8566,443.6379907,0.890425487,94.8383179,94.8383179
USU_0112,primary,16.57,Coast Range,44.08362673,-124.0516087,2.839779,11.898,164.1607209,0.918523343,88.07110439,88.07110439
ORDEQ_0264,primary,15.43,Coast Range,43.36834892,-124.0511042,7.25504,2.3859,173.3765037,0.906500678,68.37037037,58.5816673
USU_0114,primary,19.63,Coast Range,43.1044,-124.05,1.892835,8.5095,140.0426511,0.893577009,82.40832507,86.59968271
ORDEQ_0059,primary,19.1,Klamath Mountains/California High North Coast Range,42.45842568,-124.04997,8.031807,19.881,530.1829365,0.888038909,96.69620702,86.85377999
ORDEQ_0304,primary,18.62,Coast Range,43.52660792,-124.0486055,4.405394,9.3654,241.1117894,0.903413496,85.25850471,85.25850471
USU_0116,primary,17.31,Coast Range,44.07245083,-124.0476821,2.839779,11.898,164.1607209,0.918523343,88.07110439,88.07110439
ORDEQ_0547,primary,14.94,Coast Range,44.1701391,-124.0467212,14.566179,2.0835,340.6941901,0.891492047,93.86609071,93.86609071
ORDEQ_0800,primary,20.09,Coast Range,44.65387053,-124.0454996,2.144897,2.9349,82.17699172,0.72922996,56.30174793,56.30174793
ORDEQ_0122,primary,18.09,Coast Range,42.82930003,-124.0448725,10.074362,10.0404,540.4320832,0.913592505,70.73323772,70.73323772
ORDEQ_0070,primary,21.47,Klamath Mountains/California High North Coast Range,42.57088986,-124.0429779,0.630992,92.3508,218.0002532,0.898364596,85.25322741,91.92492106
USU_0120,primary,13.75,Coast Range,48.0170139,-124.0416977,6.989265,10.2492,713.7963181,0.853719897,91.42957499,91.42957499
ORDEQ_0043,primary,20.81,Klamath Mountains/California High North Coast Range,42.27821899,-124.0412921,4.721902,56.5857,296.6007351,0.893013884,97.46514575,87.38886326
ORDEQ_0568,primary,18.42,Coast Range,44.21879518,-124.0401351,1.002861,56.0655,242.2050401,0.909468878,93.0444179,86.98450919
ORDEQ_0295,primary,17.19,Coast Range,43.4807279,-124.0395831,9.534371,2.088,281.3917026,0.901184232,88.10344828,88.10344828
USU_0123,primary,16.51,Coast Range,47.52648061,-124.0392268,2.24895,18.1242,374.9227877,0.890477603,94.63988459,92.40738902
USU_0125,primary,17.86,Klamath Mountains/California High North Coast Range,42.18693,-124.03843,3.718113,2.9493,794.4371102,0.85183002,87.88526091,87.88526091
ORDEQ_0714,primary,19.62,Coast Range,44.47232197,-124.0369306,3.092439,4.5135,71.4072343,0.856548802,69.31206381,69.31206381
USU_0126,primary,13.76,Coast Range,48.00610363,-124.0358299,6.989265,10.2492,713.7963181,0.853719897,91.42957499,91.42957499
USU_0127,primary,15.56,Coast Range,47.54066866,-124.0354543,4.24908,11.8566,443.6379907,0.890425487,94.8383179,94.8383179
ORDEQ_0071,primary,21.14,Klamath Mountains/California High North Coast Range,42.57319062,-124.0350325,2.513294,88.011,223.246919,0.897082554,84.40575322,92.18529502
USU_0129,primary,17.95,Klamath Mountains/California High North Coast Range,42.20809,-124.03449,5.091622,20.2626,695.897873,0.906690635,86.57614144,87.26125966
ORDEQ_0489,primary,17.98,Coast Range,44.07437788,-124.0344733,1.774365,9.0351,143.2377139,0.889312055,90.72616795,90.72616795
USU_0133,primary,18.36,Coast Range,43.0956,-124.0331,5.902037,5.0877,284.529273,0.892038336,89.38616664,89.38616664
USU_0134,primary,16.5,Coast Range,47.5298,-124.0329,2.24895,18.1242,374.9227877,0.890477603,94.63988459,92.40738902
ORDEQ_0432,primary,18.23,Coast Range,43.90458995,-124.0326024,6.150789,2.1195,122.8949002,0.798563561,55.83864119,55.83864119
ORDEQ_0104,primary,15,Coast Range,42.76883662,-124.0297818,25.947996,2.223,672.3174251,0.908635015,88.58299595,88.58299595
USU_0141,primary,15.37,Coast Range,44.37803,-124.02975,6.418625,2.5254,249.8938596,0.858253662,80.89807555,80.89807555
ORDEQ_0227,primary,20,Coast Range,43.25678586,-124.027234,0.272027,102.852,145.1475298,0.861766663,70.371669,53.48529926
ORDEQ_0401,primary,18.9,Coast Range,43.83903419,-124.0252082,0.238065,18.6597,122.5351431,0.883737547,80.50254453,83.73607293
ORDEQ_0173,primary,18.85,Coast Range,43.04129812,-124.0248448,1.793302,8.9892,145.4290245,0.853355224,47.6635514,52.74329195
ORDEQ_0271,primary,18.59,Coast Range,43.40516883,-124.0238003,5.881453,5.0634,199.7970047,0.889640323,55.68156549,48.68467828
USU_0143,primary,20.2,Coast Range,43.263973,-124.023681,0.272027,102.852,145.1475298,0.861766663,70.371669,53.48529926
USU_0144,primary,20.73,Klamath Mountains/California High North Coast Range,42.57721,-124.02345,1.721156,83.0583,485.5522021,0.893823486,87.53395948,92.4767302
ORDEQ_0345,primary,18.18,Coast Range,43.6506474,-124.0227957,5.449448,3.3372,175.7457524,0.918591494,90.42610572,90.42610572
ORDEQ_0278,primary,18.65,Coast Range,43.4232451,-124.0186013,4.519532,7.4727,230.9961941,0.874676834,36.09538721,36.09538721
ORDEQ_0566,primary,18.31,Coast Range,44.21491936,-124.0183263,0.98118,38.4363,314.0008293,0.910094059,88.18624044,84.10330859
USU_0146,primary,14.61,Coast Range,42.71539,-124.01824,16.045065,5.9913,811.6107962,0.908086832,88.28301037,88.28301037
ORDEQ_0178,primary,18.01,Coast Range,43.05069157,-124.0177482,3.67774,4.6539,226.110526,0.846246363,47.32160124,47.32160124
WARF-0108,primary,18.54,Coast Range,47.62809627,-124.0173297,0.380843,414.8397,172.6142365,0.862836516,92.7817879,85.92658803
USU_0148,primary,16.8,Klamath Mountains/California High North Coast Range,42.19763,-124.01651,8.837815,7.4376,932.3912185,0.908267668,87.92352372,87.92352372
ORDEQ_0157,primary,21.57,Coast Range,42.97404327,-124.0135462,1.338273,67.5954,154.1436177,0.817265106,59.86290937,58.95268021
ORDEQ_0402,primary,18.4,Coast Range,43.84111193,-124.0126319,2.656885,9.2034,163.3912527,0.877021369,85.23371797,85.23371797
USU_0150,primary,19.35,Coast Range,47.6217,-124.012,0.828212,79.686,211.3499672,0.88076131,91.58849281,94.60018071
USU_0151,primary,14.83,Coast Range,44.36263,-124.01111,4.094339,5.0643,278.7960565,0.888018082,79.22516439,79.22516439
