Predictor,Group,OTU_Label,OTU,OTU_high.res,OTU_low.res,OTU_med.res,OTU_comment,nOcc,Waopt,LowOcc,ProbLT10,Watol,WA_MinusTol,WA_PlusTol,ValueProb10_min,ValueProb10_max,ValueProb20_min,ValueProb20_max,WA_Rank,GAM,GAM_Rank,CurveShape,GAM_Extreme,LargeUncertainty,Ubiquitous,LowConf,Rank,Phylum,Class,Order,Family,Subfamily,Tribe,Genus,Flag,ThermPref_JS3,ThermHiLo_JS,Therm_SH2,Therm_TITAN
WaterTemp_MWMT_93_11_C,Amphipoda,Hyalellidae,Hyalellidae,666,666,666,,176,24.4632514,0,0,3.831050125,20.63220128,28.29430153,22.8,30.8,24.9,30.8,822.5,30.8,780,*Increaser,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WaterTemp_MWMT_93_11_C,Amphipoda,Ramellogammarus,Ramellogammarus,Anisogammaridae,Anisogammaridae,Anisogammaridae,,45,19.88318808,0,1,1.853183671,18.03000441,21.73637175,NA,NA,NA,NA,567,21.9,527,*Unimodal,0,0,0,1,Genus,Arthropoda,Malacostraca,Amphipoda,Anisogammaridae,,,Ramellogammarus,LowProbOcc,cool,,cool/warm,
WaterTemp_MWMT_93_11_C,Amphipoda,Stygobromus,Stygobromus,666,666,666,,10,18.81953786,1,1,1.419908719,17.39962914,20.23944658,NA,NA,NA,NA,463,18,376.5,Flat,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WaterTemp_MWMT_93_11_C,Bivalvia,_Bivalvia,Bivalvia,666,666,666,,1466,20.23495529,0,0,3.740730717,16.49422457,23.975686,8.1,30.8,13.3,30.8,611,26.6,641.5,Unimodal/Increaser,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WaterTemp_MWMT_93_11_C,Bivalvia,Corbicula,Corbicula,Corbicula,Corbiculoidea,Corbicula,,54,24.87629512,0,0,1.224952937,23.65134218,26.10124806,23.7,27.4,NA,NA,836.5,25.4,625.5,*Unimodal,0,0,0,0,Genus,Mollusca,Bivalvia,Veneroida,Corbiculidae,,,Corbicula,,warm,hot,,
WaterTemp_MWMT_93_11_C,Bivalvia,Corbiculidae,Corbiculidae,666,666,666,,54,24.87629512,0,0,1.224952937,23.65134218,26.10124806,23.7,27.4,NA,NA,836.5,25.4,625.5,*Unimodal,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WaterTemp_MWMT_93_11_C,Bivalvia,Corbiculoidea,Corbiculoidea,666,Corbiculoidea,666,"covers both Cobiculidae and Sphaeriidae, most info comes from Sphaeriidae",1447,20.1932113,0,0,3.737747019,16.45546428,23.93095832,8.2,30.8,13.3,30.8,605,27.7,655.5,Unimodal/Increaser,0,0,0,0,Suborder,Mollusca,Bivalvia,Veneroida,,,,,,eurythermal,,warm,
WaterTemp_MWMT_93_11_C,Bivalvia,Margaritiferidae,Margaritiferidae,Unionoidea,Unionoidea,Unionoidea,,37,21.04390278,0,1,2.271532883,18.7723699,23.31543566,NA,NA,NA,NA,664,23.1,551.5,*Unimodal,0,0,0,1,Family,Mollusca,Bivalvia,Unionoida,Margaritiferidae,,,,LowProbOcc,warm,,warm,
WaterTemp_MWMT_93_11_C,Bivalvia,Musculium,Musculium,666,666,666,,13,15.85122664,1,1,5.016084365,10.83514227,20.867311,NA,NA,NA,NA,173,30.8,780,Flat,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WaterTemp_MWMT_93_11_C,Bivalvia,Pisidium,Pisidium,Pisidium,Corbiculoidea,Sphaeriidae,,604,19.16074447,0,0,3.593696938,15.56704753,22.7544414,12.5,30.8,22,30.8,489,30.8,780,*Increaser,1,0,0,0,Genus,Mollusca,Bivalvia,Veneroida,Sphaeriidae,,,Pisidium,,cool,,cool--but wouldn't argue with cool/warm,
WaterTemp_MWMT_93_11_C,Bivalvia,Sphaeriidae,Sphaeriidae,666,Corbiculoidea,Sphaeriidae,,1415,19.86888052,0,0,3.635302007,16.23357852,23.50418253,8.1,30.8,13.3,30.8,564,26,632.5,Unimodal/Increaser,0,0,0,0,Family,Mollusca,Bivalvia,Veneroida,Sphaeriidae,,,,,eurythermal,,"warm--on cool/warm threshold for WA, but pretty clearly a warm water taxon when include GAM as other info",Increaser
WaterTemp_MWMT_93_11_C,Bivalvia,Sphaerium,Sphaerium,Sphaerium,Corbiculoidea,Sphaeriidae,,31,23.57511029,0,1,3.265224412,20.30988588,26.84033471,NA,NA,NA,NA,788,25.1,613,*Unimodal,0,0,0,1,Genus,Mollusca,Bivalvia,Veneroida,Sphaeriidae,,,Sphaerium,LowProbOcc,warm,,warm,
WaterTemp_MWMT_93_11_C,Bivalvia,Unionoida,Unionoida,666,666,666,,46,21.19576681,0,1,2.382866155,18.81290066,23.57863296,NA,NA,NA,NA,677.5,23.7,571,*Unimodal,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WaterTemp_MWMT_93_11_C,Bivalvia,Unionoidea,Unionoidea,Unionoidea,Unionoidea,Unionoidea,"almost all from Margaratiferidae, similar Optima",46,21.19576681,0,1,2.382866155,18.81290066,23.57863296,NA,NA,NA,NA,677.5,23.7,571,*Unimodal,0,0,0,1,Superfamily,Mollusca,Bivalvia,Unionoida,,,,,LowProbOcc,warm,,warm,
WaterTemp_MWMT_93_11_C,Bivalvia,Veneroida,Veneroida,666,666,666,,1447,20.19851375,0,0,3.739950786,16.45856296,23.93846454,8.2,30.8,13.3,30.8,606,27.7,655.5,Unimodal/Increaser,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WaterTemp_MWMT_93_11_C,Chironomidae,Ablabesmyia,Ablabesmyia,Ablabesmyia,Tanypodinae,Pentaneurini,,106,22.70806082,0,0,3.973357338,18.73470348,26.68141816,25.3,30.8,28.5,30.8,761,30.8,780,*Increaser,1,0,0,0,Genus,Arthropoda,Insecta,Diptera,Chironomidae,Tanypodinae,Pentaneurini,Ablabesmyia,,warm,,warm-- +,
WaterTemp_MWMT_93_11_C,Chironomidae,Acricotopus,Acricotopus,666,666,666,,2,23.89311445,1,1,1.173797257,22.71931719,25.0669117,NA,NA,NA,NA,794,24.2,592,Flat,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WaterTemp_MWMT_93_11_C,Chironomidae,Allocladius,Allocladius,666,666,666,,5,16.99423527,1,1,5.034834095,11.95940117,22.02906936,NA,NA,NA,NA,258,30.8,780,Flat,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WaterTemp_MWMT_93_11_C,Chironomidae,Alotanypus,Alotanypus,Coelotanypodini,Tanypodinae,Coelotanypodini,,42,20.51566515,0,1,2.555595091,17.96007006,23.07126024,NA,NA,NA,NA,631,23.8,576,*Unimodal,0,0,0,1,Genus,Arthropoda,Insecta,Diptera,Chironomidae,Tanypodinae,Coelotanypodini,Alotanypus,LowProbOcc,cool,,warm,
WaterTemp_MWMT_93_11_C,Chironomidae,Apedilum,Apedilum,Apedilum,Chironomini,Chironomini,,35,22.85388761,0,1,3.080746008,19.7731416,25.93463362,NA,NA,NA,NA,765,26.7,644,*Unimodal,0,0,0,1,Genus,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Chironomini,Apedilum,LowProbOcc,warm,,warm -- +,
WaterTemp_MWMT_93_11_C,Chironomidae,Apsectrotanypus,Apsectrotanypus,666,666,666,,4,16.11869614,1,1,4.470961054,11.64773509,20.5896572,NA,NA,NA,NA,191,30.8,780,Flat,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WaterTemp_MWMT_93_11_C,Chironomidae,Bethbilbeckia,Bethbilbeckia,666,666,666,,5,18.37455165,1,1,2.666971079,15.70758057,21.04152272,NA,NA,NA,NA,413,3.8,51.5,Flat,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WaterTemp_MWMT_93_11_C,Chironomidae,Bilyjomyia,Bilyjomyia,666,666,666,,29,12.36250066,1,1,1.78996386,10.5725368,14.15246452,NA,NA,NA,NA,24,11.7,153.5,*Unimodal,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WaterTemp_MWMT_93_11_C,Chironomidae,Boreochlini,Boreochlini,666,666,666,,72,16.83017347,0,1,3.085357821,13.74481565,19.91553129,NA,NA,NA,NA,241.5,3.8,51.5,*Decreaser,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WaterTemp_MWMT_93_11_C,Chironomidae,Boreochlus,Boreochlus,Podonominae,Podonominae,Podonominae,,72,16.83017347,0,1,3.085357821,13.74481565,19.91553129,NA,NA,NA,NA,241.5,3.8,51.5,*Decreaser,1,1,0,1,Genus,Arthropoda,Insecta,Diptera,Chironomidae,Podonominae,Boreochlini,Boreochlus,LowProbOcc,cold,,cool,
WaterTemp_MWMT_93_11_C,Chironomidae,Boreoheptagyia,Boreoheptagyia,Boreoheptagyia,Diamesinae,Boreoheptagyia,,45,14.16681191,0,1,3.037005793,11.12980612,17.20381771,NA,NA,NA,NA,66.5,13.5,192.5,*Unimodal,0,0,0,1,Genus,Arthropoda,Insecta,Diptera,Chironomidae,Diamesinae,Boreoheptagyiini,Boreoheptagyia,LowProbOcc,cold,,core cold--but low confidence gives me pause,
WaterTemp_MWMT_93_11_C,Chironomidae,Boreoheptagyiini,Boreoheptagyiini,666,666,666,,45,14.16681191,0,1,3.037005793,11.12980612,17.20381771,NA,NA,NA,NA,66.5,13.5,192.5,*Unimodal,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WaterTemp_MWMT_93_11_C,Chironomidae,Brillia,Brillia,Brillia,Orthocladiinae,Brillia,,1575,17.31591221,0,0,2.720124696,14.59578751,20.0360369,3.8,26,3.8,23.6,285,17.3,344.5,Unimodal/Decreaser,0,0,0,0,Genus,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladiinae,Orthocladiini/Metriocnemini,Brillia,,eurythermal,,cool,Decreaser
WaterTemp_MWMT_93_11_C,Chironomidae,Brundiniella,Brundiniella,Brundiniella,Tanypodinae,Macropelopiini,,255,18.79437218,0,1,3.146456357,15.64791582,21.94082853,NA,NA,NA,NA,460,16.5,293.5,*Unimodal,0,0,0,1,Genus,Arthropoda,Insecta,Diptera,Chironomidae,Tanypodinae,Macropelopiini,Brundiniella,LowProbOcc,eurythermal,,warm,
WaterTemp_MWMT_93_11_C,Chironomidae,Bryophaenocladius,Bryophaenocladius,666,666,666,,7,16.1489251,1,1,1.675901487,14.47302361,17.82482658,NA,NA,NA,NA,192,15.3,252.5,Flat,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WaterTemp_MWMT_93_11_C,Chironomidae,Cardiocladius,Cardiocladius,Cardiocladius,Orthocladiinae,Cardiocladius,,152,23.20844189,0,0,4.243476182,18.96496571,27.45191808,23.1,30.8,27.7,30.8,782,30.8,780,*Increaser,1,1,0,0,Genus,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladiinae,Orthocladiini/Metriocnemini,Cardiocladius,,warm,,warm -- +,
WaterTemp_MWMT_93_11_C,Chironomidae,Chaetocladius,Chaetocladius,Chaetocladius,Orthocladiinae,Chaetocladius,,227,15.86899312,0,0,3.875818112,11.993175,19.74481123,3.8,13,3.8,7.7,174,3.8,51.5,*Decreaser,1,0,0,0,Genus,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladiinae,Orthocladiini/Metriocnemini,Chaetocladius,,cold,,core cold ,Decreaser
WaterTemp_MWMT_93_11_C,Chironomidae,_Chironomidae,Chironomidae,666,666,666,,3865,18.33065925,0,0,3.893258498,14.43740075,22.22391775,3.8,30.8,3.8,30.8,408,17.6,356,*Unimodal,0,0,1,0,Family,Arthropoda,Insecta,Diptera,Chironomidae,,,,,eurythermal,,,
WaterTemp_MWMT_93_11_C,Chironomidae,Chironominae,Chironominae,666,666,666,,3575,18.90467759,0,0,3.560073819,15.34460377,22.46475141,3.8,30.8,4.8,30.8,471,21.9,527,Unimodal/Increaser,0,0,0,0,Subfamily,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,,,,eurythermal,,eurythermal,Decreaser
WaterTemp_MWMT_93_11_C,Chironomidae,Chironomini,Chironomini,666,Chironomini,Chironomini,"could possibly leave at tribe, as optima mostly warm--ranging from 19-23",1990,20.7052167,0,0,3.413822432,17.29139427,24.11903913,12.3,30.8,13.9,30.8,644,30.8,780,*Increaser,1,0,0,0,Tribe,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Chironomini,,,eurythermal,,warm,Increaser
WaterTemp_MWMT_93_11_C,Chironomidae,Chironomus,Chironomus,Chironomus,Chironomini,Chironomini,,130,20.70699677,0,1,2.810842194,17.89615457,23.51783896,NA,NA,NA,NA,645,27,650,Unimodal/Increaser,0,0,0,1,Genus,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Chironomini,Chironomus,LowProbOcc,warm,,warm,
WaterTemp_MWMT_93_11_C,Chironomidae,Cladopelma,Cladopelma,666,666,666,,3,23.08708702,1,1,1.508726665,21.57836036,24.59581369,NA,NA,NA,NA,777,24,585.5,Flat,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WaterTemp_MWMT_93_11_C,Chironomidae,Cladotanytarsus,Cladotanytarsus,Cladotanytarsus,Tanytarsini,Tanytarsini,,365,20.02596424,0,0,2.95617843,17.06978581,22.98214267,18.1,30.8,26.1,30.8,581,30.8,780,*Increaser,1,1,0,0,Genus,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Tanytarsini,Cladotanytarsus,,warm,,warm,Increaser
WaterTemp_MWMT_93_11_C,Chironomidae,Clinotanypus,Clinotanypus,666,666,666,,3,27.49900749,1,1,4.84150321,22.65750428,32.3405107,NA,NA,NA,NA,881,30.8,780,*Increaser,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WaterTemp_MWMT_93_11_C,Chironomidae,Coelotanypodini,Coelotanypodini,Coelotanypodini,Tanypodinae,Coelotanypodini,,45,20.59105928,0,1,2.702468034,17.88859125,23.29352732,NA,NA,NA,NA,637,30.8,780,*Increaser,1,0,0,1,Tribe,Arthropoda,Insecta,Diptera,Chironomidae,Tanypodinae,Coelotanypodini,,LowProbOcc,warm,,warm,
WaterTemp_MWMT_93_11_C,Chironomidae,Compterosmittia,Compterosmittia,666,666,666,,1,19.6,1,1,NA,NA,NA,NA,NA,NA,NA,548,19.6,452,*Unimodal,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WaterTemp_MWMT_93_11_C,Chironomidae,Conchapelopia,Conchapelopia,Conchapelopia,Tanypodinae,Pentaneurini,,65,19.96220621,0,1,3.184894606,16.7773116,23.14710081,NA,NA,NA,NA,573,30.8,780,*Increaser,1,0,0,1,Genus,Arthropoda,Insecta,Diptera,Chironomidae,Tanypodinae,Pentaneurini,Conchapelopia,LowProbOcc,warm,,warm,
WaterTemp_MWMT_93_11_C,Chironomidae,Constempellina,Constempellina,Constempellina,Tanytarsini,Tanytarsini,,46,17.39535078,0,1,2.502646857,14.89270392,19.89799764,NA,NA,NA,NA,296,12.3,163.5,*Unimodal,0,0,0,1,Genus,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Tanytarsini,Constempellina,LowProbOcc,cold,,cool,
WaterTemp_MWMT_93_11_C,Chironomidae,Corynoneura,Corynoneura,Corynoneura,Orthocladiinae,Corynoneura,,783,18.72235756,0,0,3.990089831,14.73226773,22.71244739,3.8,30.8,16.5,30.8,446,23.1,551.5,*Unimodal,0,0,0,0,Genus,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladiinae,Corynoneurini,Corynoneura,,eurythermal,,"cool - by definition, but seems like a cool/warm",Increaser
WaterTemp_MWMT_93_11_C,Chironomidae,Cricotopus,Cricotopus,666,Orthocladiinae,Cricotopus,,807,20.82868548,0,0,4.288278407,16.54040708,25.11696389,13.3,30.8,19,30.8,651,30.8,780,*Increaser,1,0,0,0,Genus,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladiinae,Orthocladiini/Metriocnemini,Cricotopus,,cool,,warm,Increaser
WaterTemp_MWMT_93_11_C,Chironomidae,Cricotopus (Isocladius),Cricotopus (Isocladius),Cricotopus (Isocladius),Orthocladiinae,Cricotopus,,50,22.79630507,0,0,5.94317663,16.85312844,28.7394817,27.2,30.8,29.7,30.8,763,30.8,780,*Increaser,1,1,0,0,Species,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladiinae,Orthocladiini/Metriocnemini,Cricotopus,,warm,,warm,
WaterTemp_MWMT_93_11_C,Chironomidae,Cricotopus (Nostococladius),Cricotopus (Nostococladius),Cricotopus (Nostococladius),Orthocladiinae,Cricotopus,,145,19.17738784,0,1,4.018627267,15.15876057,23.1960151,NA,NA,NA,NA,495,30.8,780,*Increaser,1,0,0,1,Species,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladiinae,Orthocladiini/Metriocnemini,Cricotopus,LowProbOcc,eurythermal,,eurythermal,
WaterTemp_MWMT_93_11_C,Chironomidae,Cricotopus bicinctus,Cricotopus bicinctus group,Cricotopus bicinctus group,Orthocladiinae,Cricotopus,,178,23.09438676,0,0,3.628748593,19.46563817,26.72313535,21.8,30.8,26.2,30.8,778,30.8,780,*Increaser,1,1,0,0,Species,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladiinae,Orthocladiini/Metriocnemini,Cricotopus,,warm,,warm -- +,
WaterTemp_MWMT_93_11_C,Chironomidae,Cricotopus tremulus,Cricotopus tremulus group,666,666,666,,9,19.64895497,1,1,3.095821024,16.55313394,22.74477599,NA,NA,NA,NA,551,30.8,780,Flat,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WaterTemp_MWMT_93_11_C,Chironomidae,Cricotopus trifascia,Cricotopus trifascia group,Cricotopus trifascia group,Orthocladiinae,Cricotopus,,98,24.14480162,0,0,3.246761264,20.89804036,27.39156289,23.7,30.8,26.7,29.4,806,27.9,658.5,Unimodal/Increaser,0,0,0,0,Species,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladiinae,Orthocladiini/Metriocnemini,Cricotopus,,warm,hot,warm--this is bordering on a new category of hot,
WaterTemp_MWMT_93_11_C,Chironomidae,Cryptochironomus,Cryptochironomus,Cryptochironomus,Chironomini,Chironomini,,157,22.50418798,0,0,2.944760362,19.55942762,25.44894834,22.1,30.8,27.1,30.8,747,30.8,780,*Increaser,1,1,0,0,Genus,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Chironomini,Cryptochironomus,,warm,,warm,
WaterTemp_MWMT_93_11_C,Chironomidae,Cryptotendipes,Cryptotendipes,666,666,666,,28,24.85207606,1,0,4.142019328,20.71005674,28.99409539,28.2,30.8,30.3,30.8,834,30.8,780,*Increaser,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WaterTemp_MWMT_93_11_C,Chironomidae,Demicryptochironomus,Demicryptochironomus,666,666,666,,19,20.69894053,1,1,2.192423524,18.50651701,22.89136405,NA,NA,NA,NA,643,21.7,518,Flat,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WaterTemp_MWMT_93_11_C,Chironomidae,Derotanypus,Derotanypus,666,666,666,,1,18.6,1,1,NA,NA,NA,NA,NA,NA,NA,432,18.6,403.5,Flat,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WaterTemp_MWMT_93_11_C,Chironomidae,Diamesa,Diamesa,Diamesa,Diamesinae,Diamesa,,85,9.557021508,0,0,3.225318572,6.331702935,12.78234008,3.8,9.2,3.8,6.1,4,3.8,51.5,*Decreaser,1,1,0,0,Genus,Arthropoda,Insecta,Diptera,Chironomidae,Diamesinae,Diamesini,Diamesa,,cold,very cold,"cold/core-cold - could be core cold, but it just looks questionable to me",
WaterTemp_MWMT_93_11_C,Chironomidae,Diamesinae,Diamesinae,666,Diamesinae,666,,1084,15.72130722,0,0,5.012394723,10.7089125,20.73370194,3.8,30.8,3.8,26.9,164,3.8,51.5,*Decreaser,1,1,0,0,Subfamily,Arthropoda,Insecta,Diptera,Chironomidae,Diamesinae,,,,eurythermal,,eurythermal,
WaterTemp_MWMT_93_11_C,Chironomidae,Diamesini,Diamesini,666,Diamesinae,666,,920,15.49125905,0,0,5.058354243,10.43290481,20.54961329,3.8,30.8,3.8,25.9,146,3.8,51.5,*Decreaser,1,1,0,0,Tribe,Arthropoda,Insecta,Diptera,Chironomidae,Diamesinae,Diamesini,,,eurythermal,,eurythermal,
WaterTemp_MWMT_93_11_C,Chironomidae,Dicrotendipes,Dicrotendipes,Dicrotendipes,Chironomini,Chironomini,,140,23.89699589,0,0,2.571635743,21.32536015,26.46863164,23,30.8,25,30.8,795,30.8,780,*Increaser,1,1,0,0,Genus,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Chironomini,Dicrotendipes,,warm,,warm--this is bordering on a new category of hot,
WaterTemp_MWMT_93_11_C,Chironomidae,Diplocladius,Diplocladius,Diplocladius,Orthocladiinae,Diplocladius,,68,17.96071561,0,1,3.968246879,13.99246873,21.92896249,NA,NA,NA,NA,366,20.7,488,*Unimodal,0,0,0,1,Genus,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladiinae,Orthocladiini/Metriocnemini,Diplocladius,LowProbOcc,cool,,cool,
WaterTemp_MWMT_93_11_C,Chironomidae,Doncricotopus,Doncricotopus,666,666,666,,5,19.49794363,1,1,3.110555885,16.38738774,22.60849951,NA,NA,NA,NA,531,20.9,498,Flat,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WaterTemp_MWMT_93_11_C,Chironomidae,Endochironomus,Endochironomus,666,666,666,,13,19.98189967,1,0,6.52360691,13.45829276,26.50550658,30.3,30.8,NA,NA,575,30.8,780,*Increaser,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WaterTemp_MWMT_93_11_C,Chironomidae,Eretmoptera,Eretmoptera,666,666,666,,1,16.38,1,1,NA,NA,NA,NA,NA,NA,NA,205,16.4,288,*Unimodal,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WaterTemp_MWMT_93_11_C,Chironomidae,Eukiefferiella,Eukiefferiella,666,Orthocladiinae,Eukiefferiella,"some large diffs in optima, but would lose a lot of observations if remove genera level",1671,17.88253018,0,0,3.966762622,13.91576756,21.84929281,3.8,30.8,3.8,30.8,356,3.8,51.5,*Decreaser,1,1,1,0,Genus,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladiinae,Orthocladiini/Metriocnemini,Eukiefferiella,,eurythermal,,eurythermal,
