TaxaID_v2,OTU,OTU_high.res,OTU_low.res,OTU_med.res,OTU_comment,nOcc,WAopt,Flag,ThermPref_JS3,ThermHiLo_JS,Therm_SH2,Therm_TITAN,WAtol,CurveShape,WA_MinusTol,WA_PlusTol,GAM,ValueProb10_min,ValueProb10_max,ValueProb20_min,ValueProb20_max,WA_Rank,GAM_Rank,Ubiquitous,Comment,RAW_DATA_OCCUR,RAI_TAXON,Taxon_Group,Kingdom,Phylum,SubPhylum,Class,SubClass,Order,SubOrder,SuperFamily,Family,SubFamily,Tribe,GenusGroup,Genus,SubGenus,SpeciesGroup,SpeciesSubGroup,SpeciesComplex,Species
Cernosvitoviella,Enchytraeidae,Enchytraeidae,Oligochaeta,Enchytraeidae,,748,16.61176178,,eurythermal,,don't use,,3.522543203,*Unimodal,13.08921858,20.13430499,16.1,8.6,30.8,13.5,19.3,225,280,0,,16,Cernosvitoviella,Oligochaeta,Animalia,Annelida,,Clitellata,Oligochaeta,Enchytraeida,,,Enchytraeidae,,,,Cernosvitoviella,,,,,
Chamaedrilus,Chamaedrilus,Chamaedrilus,Oligochaeta,Enchytraeidae,,73,16.7813548,LowProbOcc,eurythermal,,cold,,2.708547833,*Increaser,14.07280697,19.48990264,30.8,NA,NA,NA,NA,238,780,0,,73,Chamaedrilus,Oligochaeta,Animalia,Annelida,,Clitellata,Oligochaeta,Enchytraeida,,,Enchytraeidae,,,,Chamaedrilus,,,,,
Achaeta,Achaeta,Achaeta,Oligochaeta,Enchytraeidae,,261,18.47019708,LowProbOcc,cool,,cool,,3.698705001,*Unimodal,14.77149208,22.16890208,17.9,NA,NA,NA,NA,422,370.5,0,,261,Enchytraeus,Oligochaeta,Animalia,Annelida,,Clitellata,Oligochaeta,Enchytraeida,,,Enchytraeidae,,,,Enchytraeus,,,,,
Enchytraeus,Enchytraeus,Enchytraeus,Oligochaeta,Enchytraeidae,,261,18.47019708,LowProbOcc,cool,,cool,,3.698705001,*Unimodal,14.77149208,22.16890208,17.9,NA,NA,NA,NA,422,370.5,0,,261,Enchytraeus,Oligochaeta,Animalia,Annelida,,Clitellata,Oligochaeta,Enchytraeida,,,Enchytraeidae,,,,Enchytraeus,,,,,
Fridericia,Fridericia,Fridericia,Oligochaeta,Enchytraeidae,,225,16.88029725,LowProbOcc,cold,,cold/cool,,3.515599068,*Unimodal,13.36469818,20.39589632,12.7,NA,NA,NA,NA,247,175.5,0,,225,Fridericia,Oligochaeta,Animalia,Annelida,,Clitellata,Oligochaeta,Enchytraeida,,,Enchytraeidae,,,,Fridericia,,,,,
Henlea,Enchytraeidae,Enchytraeidae,Oligochaeta,Enchytraeidae,,748,16.61176178,,eurythermal,,don't use,,3.522543203,*Unimodal,13.08921858,20.13430499,16.1,8.6,30.8,13.5,19.3,225,280,0,,25,Henlea,Oligochaeta,Animalia,Annelida,,Clitellata,Oligochaeta,Enchytraeida,,,Enchytraeidae,,,,Henlea,,,,,
Mesenchytraeus,Mesenchytraeus,Mesenchytraeus,Oligochaeta,Enchytraeidae,,384,15.41561868,,cold,,cold,,2.997972796,*Unimodal,12.41764588,18.41359147,14.4,10.4,18.4,NA,NA,141,226,0,,384,Mesenchytraeus,Oligochaeta,Animalia,Annelida,,Clitellata,Oligochaeta,Enchytraeida,,,Enchytraeidae,,,,Mesenchytraeus,,,,,
Enchytraeidae,Enchytraeidae,Enchytraeidae,Oligochaeta,Enchytraeidae,,748,16.61176178,,eurythermal,,don't use,,3.522543203,*Unimodal,13.08921858,20.13430499,16.1,8.6,30.8,13.5,19.3,225,280,0,,179,Enchytraeidae,Oligochaeta,Animalia,Annelida,,Clitellata,Oligochaeta,Enchytraeida,,,Enchytraeidae,,,,,,,,,
Haplotaxis,Haplotaxis,Haplotaxidae,Oligochaeta,Haplotaxidae,,34,21.27231111,LowProbOcc,cool,,warm,,3.670184445,*Unimodal,17.60212666,24.94249555,24.6,NA,NA,NA,NA,682.5,603.5,0,,34,Haplotaxis,Oligochaeta,Animalia,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Haplotaxina,,Haplotaxidae,,,,Haplotaxis,,,,,
NA,Haplotaxida,666,Oligochaeta,666,,201,18.56254061,LowProbOcc,cool,,cool/warm,,3.734858816,*Unimodal,14.8276818,22.29739943,24.4,NA,NA,NA,NA,427,596,0,PRODUCT OF ROLLING TAXONOMY,0,Haplotaxida,Oligochaeta,Animalia,Annelida,,Clitellata,Oligochaeta,Haplotaxida,,,,,,,,,,,,
Altmanella,Lumbriculidae,Lumbriculidae,Oligochaeta,Lumbriculidae,"most all observations at family, suggests that if we go lower, most samples will lose this info (but probably true for Oligochaeta too…)",635,18.74337281,,cool,,cool,,2.932452748,Unimodal/Increaser,15.81092006,21.67582555,19.6,13.8,30.8,18.2,21.7,452.5,452,0,,3,Altmanella,Oligochaeta,Animalia,Annelida,,Clitellata,Oligochaeta,Lumbriculida,,,Lumbriculidae,,,,Altmanella,,,,,
Eclipidrilus,Eclipidrilus,Lumbriculidae,Oligochaeta,Lumbriculidae,,42,19.07285894,LowProbOcc,cool,,cool,,2.463218729,Flat,16.60964022,21.53607767,17.1,NA,NA,NA,NA,483,327.5,0,,42,Eclipidrilus,Oligochaeta,Animalia,Annelida,,Clitellata,Oligochaeta,Lumbriculida,,,Lumbriculidae,,,,Eclipidrilus,,,,,
Guestphalinus,Lumbriculidae,Lumbriculidae,Oligochaeta,Lumbriculidae,"most all observations at family, suggests that if we go lower, most samples will lose this info (but probably true for Oligochaeta too…)",635,18.74337281,,cool,,cool,,2.932452748,Unimodal/Increaser,15.81092006,21.67582555,19.6,13.8,30.8,18.2,21.7,452.5,452,0,,2,Guestphalinus,Oligochaeta,Animalia,Annelida,,Clitellata,Oligochaeta,Lumbriculida,,,Lumbriculidae,,,,Guestphalinus,,,,,
Kincaidiana,Lumbriculidae,Lumbriculidae,Oligochaeta,Lumbriculidae,"most all observations at family, suggests that if we go lower, most samples will lose this info (but probably true for Oligochaeta too…)",635,18.74337281,,cool,,cool,,2.932452748,Unimodal/Increaser,15.81092006,21.67582555,19.6,13.8,30.8,18.2,21.7,452.5,452,0,,13,Kincaidiana,Oligochaeta,Animalia,Annelida,,Clitellata,Oligochaeta,Lumbriculida,,,Lumbriculidae,,,,Kincaidiana,,,,,
Rhynchelmis,Rhynchelmis,Lumbriculidae,Oligochaeta,Lumbriculidae,,47,17.73291511,LowProbOcc,cold,,cold/cool,,3.038835868,*Unimodal,14.69407924,20.77175098,14.6,NA,NA,NA,NA,335,229,0,,47,Rhynchelmis,Oligochaeta,Animalia,Annelida,,Clitellata,Oligochaeta,Lumbriculida,,,Lumbriculidae,,,,Rhynchelmis,,,,,
Stylodrilus,Stylodrilus,Lumbriculidae,Oligochaeta,Lumbriculidae,,59,19.09242677,LowProbOcc,cool,,cool/warm,,3.54213651,*Increaser,15.55029026,22.63456328,30.8,NA,NA,NA,NA,486,780,0,,59,Stylodrilus,Oligochaeta,Animalia,Annelida,,Clitellata,Oligochaeta,Lumbriculida,,,Lumbriculidae,,,,Stylodrilus,,,,,
Lumbriculidae,Lumbriculidae,Lumbriculidae,Oligochaeta,Lumbriculidae,"most all observations at family, suggests that if we go lower, most samples will lose this info (but probably true for Oligochaeta too…)",635,18.74337281,,cool,,cool,,2.932452748,Unimodal/Increaser,15.81092006,21.67582555,19.6,13.8,30.8,18.2,21.7,452.5,452,0,,538,Lumbriculidae,Oligochaeta,Animalia,Annelida,,Clitellata,Oligochaeta,Lumbriculida,,,Lumbriculidae,,,,,,,,,
Eiseniella tetraedra,Oligochaeta,666,Oligochaeta,666,,2815,18.58284525,,eurythermal,,eurythermal,Increaser,4.348250236,*Increaser,14.23459501,22.93109548,30.8,3.8,30.8,3.8,30.8,429,780,1,,4,Eiseniella tetraedra,Terrestrial,Animalia,Annelida,,Clitellata,Oligochaeta,Opisthopora,Lumbricina,,Lumbricidae,,,,Eiseniella,,,,,tetraedra
Lumbricidae,Oligochaeta,666,Oligochaeta,666,,2815,18.58284525,,eurythermal,,eurythermal,Increaser,4.348250236,*Increaser,14.23459501,22.93109548,30.8,3.8,30.8,3.8,30.8,429,780,1,,6,Lumbricidae,Terrestrial,Animalia,Annelida,,Clitellata,Oligochaeta,Opisthopora,Lumbricina,,Lumbricidae,,,,,,,,,
Arcteonais,Naidinae,Naidinae,Oligochaeta,Naididae,,382,22.34224182,,cool,,warm+,,3.324293678,*Increaser,19.01794814,25.6665355,30.8,17.9,30.8,25.2,30.8,741,780,0,,1,Arcteonais,Oligochaeta,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Naidinae,,,Arcteonais,,,,,
Chaetogaster,Naidinae,Naidinae,Oligochaeta,Naididae,,382,22.34224182,,cool,,warm+,,3.324293678,*Increaser,19.01794814,25.6665355,30.8,17.9,30.8,25.2,30.8,741,780,0,,10,Chaetogaster,Oligochaeta,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Naidinae,,,Chaetogaster,,,,,
Dero,Naidinae,Naidinae,Oligochaeta,Naididae,,382,22.34224182,,cool,,warm+,,3.324293678,*Increaser,19.01794814,25.6665355,30.8,17.9,30.8,25.2,30.8,741,780,0,,28,Dero,Oligochaeta,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Naidinae,,,Dero,,,,,
Haemonais,Naidinae,Naidinae,Oligochaeta,Naididae,,382,22.34224182,,cool,,warm+,,3.324293678,*Increaser,19.01794814,25.6665355,30.8,17.9,30.8,25.2,30.8,741,780,0,,1,Haemonais,Oligochaeta,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Naidinae,,,Haemonais,,,,,
Nais,Nais,Naidinae,Oligochaeta,Naididae,,346,21.89320651,,cool,,warm+,,3.100200179,*Increaser,18.79300633,24.99340669,30.8,18.1,30.8,27.2,30.8,727,780,0,,346,Nais,Oligochaeta,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Naidinae,,,Nais,,,,,
Ophidonais,Ophidonais,Naidinae,Oligochaeta,Naididae,,36,23.90154382,,warm,,,,3.144014364,*Increaser,20.75752945,27.04555818,30.8,29,30.8,30.5,30.8,796,780,0,,36,Ophidonais,Oligochaeta,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Naidinae,,,Ophidonais,,,,,
Paranais,Naidinae,Naidinae,Oligochaeta,Naididae,,382,22.34224182,,cool,,warm+,,3.324293678,*Increaser,19.01794814,25.6665355,30.8,17.9,30.8,25.2,30.8,741,780,0,,2,Paranais,Oligochaeta,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Naidinae,,,Paranais,,,,,
Slavina,Naidinae,Naidinae,Oligochaeta,Naididae,,382,22.34224182,,cool,,warm+,,3.324293678,*Increaser,19.01794814,25.6665355,30.8,17.9,30.8,25.2,30.8,741,780,0,,29,Slavina,Oligochaeta,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Naidinae,,,Slavina,,,,,
Specaria,Naidinae,Naidinae,Oligochaeta,Naididae,,382,22.34224182,,cool,,warm+,,3.324293678,*Increaser,19.01794814,25.6665355,30.8,17.9,30.8,25.2,30.8,741,780,0,,5,Specaria,Oligochaeta,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Naidinae,,,Specaria,,,,,
Stylaria,Naidinae,Naidinae,Oligochaeta,Naididae,,382,22.34224182,,cool,,warm+,,3.324293678,*Increaser,19.01794814,25.6665355,30.8,17.9,30.8,25.2,30.8,741,780,0,,22,Stylaria,Oligochaeta,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Naidinae,,,Stylaria,,,,,
Uncinais,Naidinae,Naidinae,Oligochaeta,Naididae,,382,22.34224182,,cool,,warm+,,3.324293678,*Increaser,19.01794814,25.6665355,30.8,17.9,30.8,25.2,30.8,741,780,0,,6,Uncinais uncinata,Oligochaeta,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Naidinae,,,Uncinais,,,,,
Vejdovskyella,Naidinae,Naidinae,Oligochaeta,Naididae,,382,22.34224182,,cool,,warm+,,3.324293678,*Increaser,19.01794814,25.6665355,30.8,17.9,30.8,25.2,30.8,741,780,0,,2,Vejdovskyella ,Oligochaeta,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Naidinae,,,Vejdovskyella,,,,,
Naidinae,Naidinae,Naidinae,Oligochaeta,Naididae,,382,22.34224182,,cool,,warm+,,3.324293678,*Increaser,19.01794814,25.6665355,30.8,17.9,30.8,25.2,30.8,741,780,0,,9,Naidinae,Oligochaeta,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Naidinae,,,,,,,,
Nootkadrilus,Naididae,666,Oligochaeta,Naididae,,816,21.85608171,,cool,,warm+,,3.452944319,*Increaser,18.40313739,25.30902603,30.8,14.4,30.8,17.4,30.8,720.5,780,0,,1,Nootkadrilus,Oligochaeta,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Phallodrilinae,,,Nootkadrilus,,,,,
Pristina,Pristina,Pristina,Oligochaeta,Naididae,,54,21.83327616,LowProbOcc,warm,,warm+,,4.26507516,*Increaser,17.568201,26.09835132,30.8,NA,NA,NA,NA,718,780,0,,54,Pristina,Oligochaeta,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Pristininae,,,Pristina,,,,,
Bothrioneurum,Rhyacodrilinae,Rhyacodrilinae,Oligochaeta,Naididae,,33,20.60008377,LowProbOcc,cool,,warm,,2.578209858,Flat,18.02187391,23.17829363,23.5,NA,NA,NA,NA,638,563,0,,6,Bothrioneurum,Oligochaeta,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Rhyacodrilinae,,,Bothrioneurum,,,,,
Branchiura,Rhyacodrilinae,Rhyacodrilinae,Oligochaeta,Naididae,,33,20.60008377,LowProbOcc,cool,,warm,,2.578209858,Flat,18.02187391,23.17829363,23.5,NA,NA,NA,NA,638,563,0,,5,Branchiura,Oligochaeta,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Rhyacodrilinae,,,Branchiura,,,,,
Rhyacodrilus,Rhyacodrilinae,Rhyacodrilinae,Oligochaeta,Naididae,,33,20.60008377,LowProbOcc,cool,,warm,,2.578209858,Flat,18.02187391,23.17829363,23.5,NA,NA,NA,NA,638,563,0,,22,Rhyacodrilus,Oligochaeta,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Rhyacodrilinae,,,Rhyacodrilus,,,,,
Telmatodrilus vejdovskyi,Naididae,666,Oligochaeta,Naididae,,816,21.85608171,,cool,,warm+,,3.452944319,*Increaser,18.40313739,25.30902603,30.8,14.4,30.8,17.4,30.8,720.5,780,0,,20,Telmatodrilus vejdovskyi,Oligochaeta,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Telmatodrilinae,,,Telmatodrilus,,,,,vejdovskyi
Aulodrilus,Aulodrilus,Tubificinae,Oligochaeta,Naididae,,73,23.99995145,,warm,hot,warm+,,3.692008518,*Increaser,20.30794293,27.69195997,30.8,26.6,30.8,29.7,30.8,799,780,0,,73,Aulodrilus,Oligochaeta,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Tubificinae,,,Aulodrilus,,,,,
Limnodrilus,Limnodrilus,Tubificinae,Oligochaeta,Naididae,,53,22.21753642,,warm,,,,2.348069399,*Increaser,19.86946702,24.56560581,30.8,29.1,30.8,NA,NA,736,780,0,,53,Limnodrilus,Oligochaeta,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Tubificinae,,,Limnodrilus,,,,,
Potamothrix,Tubificinae,Tubificinae,Oligochaeta,Naididae,,511,21.86454811,,cool,,warm+,,3.488371448,*Increaser,18.37617666,25.35291956,30.8,17,30.8,21.1,30.8,723,780,0,,2,Potamothrix,Oligochaeta,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Tubificinae,,,Potamothrix,,,,,
Quistradrilus,Tubificinae,Tubificinae,Oligochaeta,Naididae,,511,21.86454811,,cool,,warm+,,3.488371448,*Increaser,18.37617666,25.35291956,30.8,17,30.8,21.1,30.8,723,780,0,,6,Quistradrilus,Oligochaeta,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Tubificinae,,,Quistradrilus,,,,,
Spirosperma,Spirosperma,Tubificinae,Oligochaeta,Naididae,,74,18.87170443,LowProbOcc,cool,,cool/warm--broad tolerance,,3.807295706,*Increaser,15.06440872,22.67900013,30.8,NA,NA,NA,NA,468,780,0,,74,Spirosperma,Oligochaeta,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Tubificinae,,,Spirosperma,,,,,
Tubifex,Tubificinae,Tubificinae,Oligochaeta,Naididae,,511,21.86454811,,cool,,warm+,,3.488371448,*Increaser,18.37617666,25.35291956,30.8,17,30.8,21.1,30.8,723,780,0,,1,Tubifex,Oligochaeta,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Tubificinae,,,Tubifex,,,,,
Varichaetadrilus,Tubificinae,Tubificinae,Oligochaeta,Naididae,,511,21.86454811,,cool,,warm+,,3.488371448,*Increaser,18.37617666,25.35291956,30.8,17,30.8,21.1,30.8,723,780,0,,2,Varichaetadrilus,Oligochaeta,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Tubificinae,,,Varichaetadrilus,,,,,
Tubificinae,Tubificinae,Tubificinae,Oligochaeta,Naididae,,511,21.86454811,,cool,,warm+,,3.488371448,*Increaser,18.37617666,25.35291956,30.8,17,30.8,21.1,30.8,723,780,0,,455,Tubificinae,Oligochaeta,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Tubificinae,,,,,,,,
Naididae,Naididae,666,Oligochaeta,Naididae,,816,21.85608171,,cool,,warm+,,3.452944319,*Increaser,18.40313739,25.30902603,30.8,14.4,30.8,17.4,30.8,720.5,780,0,,309,Naididae,Oligochaeta,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,,,,,,,,,
NA,Tubificida,666,Oligochaeta,666,,816,21.85608171,,cool,,warm+,,3.452944319,*Increaser,18.40313739,25.30902603,30.8,14.4,30.8,17.4,30.8,720.5,780,0,PRODUCT OF ROLLING TAXONOMY,0,Tubificida,Oligochaeta,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,,,,,,,,,,
Oligochaeta,Oligochaeta,666,Oligochaeta,666,,2815,18.58284525,,eurythermal,,eurythermal,Increaser,4.348250236,*Increaser,14.23459501,22.93109548,30.8,3.8,30.8,3.8,30.8,429,780,1,,1657,Oligochaeta,Oligochaeta,Animalia,Annelida,,Clitellata,Oligochaeta,,,,,,,,,,,,,
Nereididae,LOW_NA,666,666,666,,NA,NA,,,,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,3,Nereididae,Other Non-Insect,Animalia,Annelida,,Polychaeta,Errantia,Phyllodocida,,,Nereididae,,,,,,,,,
Oribatida,Oribatida,666,Sarcoptiformes,Sarcoptiformes,,315,16.68454682,,cold,,cold - use?,,3.147683451,*Unimodal,13.53686337,19.83223027,16,13.8,18.1,NA,NA,233.5,274,0,,315,Oribatida,Other Non-Insect,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Sarcoptiformes,Oribatida,,,,,,,,,,,
Bandakiopsis,Trombidiformes,666,Trombidiformes,666,,2325,17.90453651,,eurythermal,,eurythermal - use?,,3.733964166,*Unimodal,14.17057235,21.63850068,14,3.8,30.8,3.8,30.8,358,209,1,,1,Bandakiopsis,Other Non-Insect,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Anisitsiellidae,,,,Bandakiopsis,,,,,
Utaxatax,Trombidiformes,666,Trombidiformes,666,,2325,17.90453651,,eurythermal,,eurythermal - use?,,3.733964166,*Unimodal,14.17057235,21.63850068,14,3.8,30.8,3.8,30.8,358,209,1,,4,Utaxatax,Other Non-Insect,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Anisitsiellidae,,,,Utaxatax,,,,,
Arrenurus,Arrenurus,Arrenurus,Trombidiformes,Arrenuridae,,51,21.61173956,,warm,,warm,,5.826172175,*Increaser,15.78556739,27.43791174,30.8,28.1,30.8,29.5,30.8,709,780,0,,51,Arrenurus,Other Non-Insect,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Arrenuridae,,,,Arrenurus,,,,,
Arrenuridae,Arrenuridae,666,Trombidiformes,Arrenuridae,almost entirely due to one genera,52,21.56902561,,warm,,warm,,5.836482952,*Increaser,15.73254266,27.40550857,30.8,28.1,30.8,29.5,30.8,704,780,0,,1,Arrenuridae,Other Non-Insect,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Arrenuridae,,,,,,,,,
Chelomideopsis,Trombidiformes,666,Trombidiformes,666,,2325,17.90453651,,eurythermal,,eurythermal - use?,,3.733964166,*Unimodal,14.17057235,21.63850068,14,3.8,30.8,3.8,30.8,358,209,1,,6,Chelomideopsis,Other Non-Insect,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Athienemanniidae,,,,Chelomideopsis,,,,,
Platyhydracarus,Trombidiformes,666,Trombidiformes,666,,2325,17.90453651,,eurythermal,,eurythermal - use?,,3.733964166,*Unimodal,14.17057235,21.63850068,14,3.8,30.8,3.8,30.8,358,209,1,,27,Platyhydracarus,Other Non-Insect,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Athienemanniidae,,,,Platyhydracarus,,,,,
Athienemanniidae,Athienemanniidae,Athienemanniidae,Trombidiformes,Athienemanniidae,,34,15.27861341,LowProbOcc,core cold,,core cold,,2.450639687,*Unimodal,12.82797372,17.72925309,14,NA,NA,NA,NA,127,209,0,,1,Athienemanniidae,Other Non-Insect,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Athienemanniidae,,,,,,,,,
Brachypoda,Trombidiformes,666,Trombidiformes,666,,2325,17.90453651,,eurythermal,,eurythermal - use?,,3.733964166,*Unimodal,14.17057235,21.63850068,14,3.8,30.8,3.8,30.8,358,209,1,,3,Brachypoda,Other Non-Insect,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,Trombidiformes,Prostigmata,,Aturidae,Axonopsinae,,,Brachypoda,,,,,
